Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
6.741123938560485840e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.550000000000000000e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.840181207656860352e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.571999999999999886e+01,2.801999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.939234924316406250e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.585000000000000142e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.038259625434875488e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.603999999999999915e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.137379574775695801e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.632999999999999829e+01,2.814999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.236491203308105469e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.639999999999999858e+01,2.821000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.335676360130310059e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.668999999999999773e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.434694528579711914e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.682000000000000028e+01,2.828000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.533763766288757324e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.700999999999999801e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.632824373245239258e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.727000000000000313e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.755362033843994141e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.732999999999999829e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.854434204101562500e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.765999999999999659e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.953523302078247070e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.765999999999999659e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.052568054199218750e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.797999999999999687e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.151599740982055664e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.807999999999999829e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.250639367103576660e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.829999999999999716e+01,2.830999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.357390356063842773e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.839999999999999858e+01,2.833999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.509899663925170898e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.861999999999999744e+01,2.844000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.608987998962402344e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.885000000000000142e+01,2.833999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.708070826530456543e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.895000000000000284e+01,2.841000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.858834052085876465e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.927000000000000313e+01,2.846999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.957974410057067871e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.935999999999999943e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.056998300552368164e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.959000000000000341e+01,2.853999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.156138300895690918e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.975000000000000000e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.255145668983459473e+01,5.000000000000000000e+01,0.000000000000000000e+00,3.990999999999999659e+01,2.860000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.354240417480468750e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.007000000000000028e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.453377461433410645e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.022999999999999687e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.552453947067260742e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.029999999999999716e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.651483559608459473e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.056000000000000227e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.750504469871520996e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.071999999999999886e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.849545478820800781e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.088000000000000256e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.948640060424804688e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.117000000000000171e+01,2.873000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.004768536090850830e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.120000000000000284e+01,2.873000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.014676377773284912e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.149000000000000199e+01,2.885999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.024593522548675537e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.152000000000000313e+01,2.889000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.034497640132904053e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.167999999999999972e+01,2.892000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.044404590129852295e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.185000000000000142e+01,2.889000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.054313526153564453e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.207000000000000028e+01,2.896000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.064224333763122559e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.217000000000000171e+01,2.896000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.074139027595520020e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.242999999999999972e+01,2.896000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.084054908752441406e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.249000000000000199e+01,2.896000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.093960106372833252e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.278000000000000114e+01,2.896000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.103867247104644775e+02,5.000000000000000000e+01,0.000000000000000000e+00,4.281000000000000227e+01,2.901999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.113777415752410889e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.296999999999999886e+01,2.907999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.123686957359313965e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.313000000000000256e+01,2.905000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.133588025569915771e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.313000000000000256e+01,2.912000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.143493840694427490e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.339000000000000057e+01,2.925000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.153404037952423096e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.346000000000000085e+01,2.925000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.163311069011688232e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.346000000000000085e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.173220922946929932e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.375000000000000000e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.183130691051483154e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.378000000000000114e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.193041162490844727e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.381000000000000227e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.202947618961334229e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.410000000000000142e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.212855253219604492e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.407000000000000028e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.222760519981384277e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.390999999999999659e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.232666549682617188e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.378000000000000114e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.242578272819519043e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.393999999999999773e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.252487120628356934e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.396999999999999886e+01,2.944000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.262394552230834961e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.407000000000000028e+01,2.953999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.272298491001129150e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.407000000000000028e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.282205500602722168e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.407000000000000028e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.292114737033843994e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.407000000000000028e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.302025084495544434e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.407000000000000028e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.311927704811096191e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.396999999999999886e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.321842439174652100e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.403999999999999915e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.331749360561370850e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.388000000000000256e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.341654126644134521e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.381000000000000227e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.351554574966430664e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.384000000000000341e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.361456861495971680e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.378000000000000114e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.371361062526702881e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.381000000000000227e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.381265659332275391e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.381000000000000227e+01,2.989000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.391172678470611572e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.378000000000000114e+01,2.989000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401078009605407715e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.378000000000000114e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.410981643199920654e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.378000000000000114e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.420886800289154053e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.375000000000000000e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.430801813602447510e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.352000000000000313e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.440711722373962402e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.349000000000000199e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.450611875057220459e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.346000000000000085e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.460514729022979736e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.342000000000000171e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.470418930053710938e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.313000000000000256e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.480319621562957764e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.313000000000000256e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.490221910476684570e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.313000000000000256e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.500125296115875244e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.303999999999999915e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.510032968521118164e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.288000000000000256e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.519947855472564697e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.281000000000000227e+01,2.992000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.529858417510986328e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.278000000000000114e+01,2.994999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.539762210845947266e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.275000000000000000e+01,2.994999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.549675502777099609e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.259000000000000341e+01,3.001999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.559581687450408936e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.252000000000000313e+01,3.005000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.569486145973205566e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.249000000000000199e+01,3.023999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.579392468929290771e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.249000000000000199e+01,3.021000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.589311709403991699e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.249000000000000199e+01,3.023999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.599216094017028809e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.246000000000000085e+01,3.023999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.609122140407562256e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.222999999999999687e+01,3.023999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.619030866622924805e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.217000000000000171e+01,3.023999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.628934583663940430e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.217000000000000171e+01,3.023999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
